web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1730849833-71","https://www.klikindomaret.com/category/facial-cleanser","Emina Bright Stuff Tone Up Cream 20Ml","","Rp 27.500"
"1730849833-72","https://www.klikindomaret.com/category/facial-cleanser","Emina Sun Battle SPF 30 Pa+++ Bright Glow 20mL","","Rp 19.100"
"1730849833-73","https://www.klikindomaret.com/category/facial-cleanser","Emina Sun Battle Spf 30 Pa+++ Bright Glow 50mL","","Rp 33.600"
"1730849833-74","https://www.klikindomaret.com/category/facial-cleanser","Emina Sun Battle Spf 50 Pa++++  Cica Acne Fighter 20mL","","Rp 32.000"
"1730849833-75","https://www.klikindomaret.com/category/facial-cleanser","Garnier Booster Serum Sakura White Hyaluron 7.5Ml","","Rp 23.500"
"1730849833-76","https://www.klikindomaret.com/category/facial-cleanser","Garnier Bright Complete Facial Foam Pure Lemon Essence 50Ml","","Rp 25.900"
"1730849833-77","https://www.klikindomaret.com/category/facial-cleanser","Garnier Bright Complete Super Whip Vitamin C 100mL","","Rp 42.500"
"1730849833-78","https://www.klikindomaret.com/category/facial-cleanser","Garnier Bright Complete Vitamin C Serum Cream SPF36 Pa+++ 20mL","","Rp 36.500"
"1730849833-79","https://www.klikindomaret.com/category/facial-cleanser","Garnier Facial Scrub Multi-Action Pure Active 100Ml","","Rp 37.900"
"1730849833-80","https://www.klikindomaret.com/category/facial-cleanser","Garnier Light Complete Booster Serum Vitamin C 7.5Ml","","Rp 23.500"
"1730849833-81","https://www.klikindomaret.com/category/facial-cleanser","Garnier Light/Bright Complete Night Cream Yoghurt Sl Mask 20Ml","","Rp 36.500"
"1730849833-82","https://www.klikindomaret.com/category/facial-cleanser","Garnier Light/Bright Complete Vitamin C Serum Cream Uv 20Ml","","Rp 32.900"
"1730849833-83","https://www.klikindomaret.com/category/facial-cleanser","Garnier Micellar Cleansing Water Oil Infused 50mL","","Rp 31.500"
"1730849833-84","https://www.klikindomaret.com/category/facial-cleanser","Garnier Micellar Cleansing Water Pink 50mL","","Rp 24.900"
"1730849833-85","https://www.klikindomaret.com/category/facial-cleanser","Garnier Micellar Cleansing Water Salicylic Bha 50mL","","Rp 24.900"
"1730849833-86","https://www.klikindomaret.com/category/facial-cleanser","Garnier Sakura Glow Hyaluron Super Whip 100mL","","Rp 42.500"
"1730849833-87","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Nat.Sakura Glow Serum Cream Spf30 20Ml","","Rp 41.500"
"1730849833-88","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Natural Bright Complete Ampoule Serum Vitamin C 1.5mL","","Rp 25.700"
"1730849833-89","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Natural Serum Mask Sakura White 28G","","Rp 28.500"
"1730849833-90","https://www.klikindomaret.com/category/facial-cleanser","Garnier Skin Naturals Bright Cmplete Cleansing Foam Anti-Acne 100mL","","Rp 42.500"
"1730849833-91","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely 2 In 1 Powder Cream 20G","","Rp 28.900"
"1730849833-92","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Bright C Glow Facial Foam Vitamin C 100g","","Rp 32.500"
"1730849833-93","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Cream Derma Glow 23g","","Rp 23.900"
"1730849833-94","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Cream Derma Glow 46g","","Rp 44.100"
"1730849833-95","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Facial Foam Derma Glow 100g","","Rp 32.500"
"1730849833-96","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Multivitamin Facial Foam Derma Glow 50g","","Rp 19.400"
"1730849833-97","https://www.klikindomaret.com/category/facial-cleanser","Glow & Lovely Ultimate UV Duo Vitamin C SPF 35 Pa+++ 20g","","Rp 21.700"
"1730849833-98","https://www.klikindomaret.com/category/facial-cleanser","Hanasui Vitamin C +Collagen Serum 20mL","","Rp 26.900"
"1730849833-99","https://www.klikindomaret.com/category/facial-cleanser","Hanasui Whitening Gold Serum 20mL","","Rp 26.900"
"1730849833-100","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Kakadu Radiance 8g","","Rp 25.000"
"1730849833-101","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Mugwort Blemish 8g","","Rp 25.000"
"1730849833-102","https://www.klikindomaret.com/category/facial-cleanser","I Like Myself Serum Moisturizer Skin Barrier 8g","","Rp 25.000"
"1730849833-103","https://www.klikindomaret.com/category/facial-cleanser","Implora 24K Gold Serum 20mL","","Rp 36.000"
"1730849833-104","https://www.klikindomaret.com/category/facial-cleanser","Implora Acne Serum 20Ml","","Rp 36.000"
"1730849833-105","https://www.klikindomaret.com/category/facial-cleanser","Implora Luminos Brightening Serum 20mL","","Rp 36.000"
"1730849833-106","https://www.klikindomaret.com/category/facial-cleanser","Indomaret Facial Cotton 50G","","Rp 10.500"
"1730849833-107","https://www.klikindomaret.com/category/facial-cleanser","Indomaret Kapas Kecantikan 35G","","Rp 7.400"
"1730849833-108","https://www.klikindomaret.com/category/facial-cleanser","Kahf Sunscreen Moisturizer SPF 30 Pa+++ 30mL","","Rp 43.700"
"1730849833-109","https://www.klikindomaret.com/category/facial-cleanser","Kao Biore Uv Oil Control Matte Spf 50Pa+++ Fresh & Bright 30g","","Rp 39.900"
"1730849833-110","https://www.klikindomaret.com/category/facial-cleanser","Kojiesan Face Lightening Cream 30G","","Rp 51.000"
"1730849833-111","https://www.klikindomaret.com/category/facial-cleanser","La Tulipe Two Function Cake Refill Y10 13g","","Rp 37.900"
"1730849833-112","https://www.klikindomaret.com/category/facial-cleanser","La Tulipe Two Function Cake Y10 13g","","Rp 60.600"
"1730849833-113","https://www.klikindomaret.com/category/facial-cleanser","Marck's Bedak Cream 40G","","Rp 22.700"
"1730849833-114","https://www.klikindomaret.com/category/facial-cleanser","Maybelline Fit Me Matte+Poreless Powder 120 Classic Ivory 6G","","Rp 77.500"
"1730849833-115","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sparkling Bright Facial Foam Pearl 100Ml","","Rp 35.500"
"1730849833-116","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sun Extra Protect Face Serum SPF 50 Instant Aura 7mL","","Rp 18.500"
"1730849833-117","https://www.klikindomaret.com/category/facial-cleanser","Nivea Sun Extra Protect Face Serum SPF 50 Oil Control 7mL","","Rp 18.500"
"1730849833-118","https://www.klikindomaret.com/category/facial-cleanser","Ovale Facial Lotion Anti Acne 200mL","","Rp 33.000"
